"heading","daysLeft","verified","price","numBids","description","skills"
"Developer with references","6 days left","VERIFIED","$37 (Avg Bid)","7 bids","I'm looking for a developer who already has business pages (Html no WordPress) for the marketing industry and can also show his references. I'm choosing for one of these reference pages and let change pictures and texts and imprint etc. At the end i need this as Html too and Host this on my own server to use my own domain. Here just a sample website:","[""HTML""]"
"Looking for someone to update the current website","6 days left","VERIFIED","$84 (Avg Bid)","23 bids","...already have a website and backend in PHP. I am looking for someone to make it more responsive and work on page SEO. the current website is in PHP, I want you to convert it to WordPress. it is a portfolio website. please check the attached document for the list of updates. ""if you have gone through with the details, please mention ""portfolio"" in the bid","[""HTML"",""PHP"",""SEO"",""Website Design"",""WordPress""]"
"Build me a website","6 days left","NOT VERIFIED.","$138 (Avg Bid)","32 bids","[login to view URL] HERE THIS IS MY DEMO WEBSITE I WANT TO MAKE A SUCH WEBSITE IN WORDPRESS PLZ CONTACT ME NOT A BIG TASK.","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"WordPress page","6 days left","VERIFIED","$142 (Avg Bid)","87 bids","To create a simple template. WP already running on our server. Project objective: - design WP layout to match current website design / format - the landing page is really product listing (but NOT a shopping cart/shop/ecommerce). Each product contains one image and description; clicking on it opens WP page with more photos - the main page shows all products (not more than 40) Communication via zo...","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Web design with template for wordpress","6 days left","NOT VERIFIED.","$19 / hr (Avg Bid)","74 bids","Web design for a brand that offers solutions and products through distributors of different brands in the industrial category. The purpose of the site is...The purpose of the site is to show the associated brands, products and distributors in the different countries that offer it. The design must be done with a template for already selected.","[""Graphic Design"",""Website Design"",""WordPress""]"
"E-Commerce Website (Wordpress + Woocommerce + Amazon S3)","6 days left","VERIFIED","$599 (Avg Bid)","80 bids","we're planning to build a website that will have the following purposes: - Section for tech documentations that will have the ability to leave comments, insert formatted codes, adding likes, upvotes, .. - Section for e-commerce build on Woocommerce, that will contain installation packages, and tech docs for selling purposes, each one of this docs and packages will be priced individually and ...","[""eCommerce"",""JavaScript"",""PHP"",""Website Design"",""WordPress""]"
"Wordpress Developer","6 days left","VERIFIED","$320 (Avg Bid)","51 bids","Looking for Wordpress /PHP Developer with 1-3 Years of experience.","[""PHP"",""WordPress""]"
"shopify expert","6 days left","NOT VERIFIED.","$360 (Avg Bid)","67 bids","Build me a shopify and wordpress for the site with full functionalities","[""HTML"",""PHP"",""Shopify"",""Website Design"",""WordPress""]"
"CSS on top banner","6 days left","NOT VERIFIED.","$5 / hr (Avg Bid)","14 bids","...here on google drive: [login to view URL] Also see attached image note the site is build in WordPress theme enfold We also need a description on how i change the hover color after your task has been completed as we still playing around with a color theme. I will give this","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Build a Wordpress site","6 days left","VERIFIED","$30 - $250","145 bids","Health Blog Make an attractive minimalist website Astra is the theme Elementor is the builder plugin Help choose one of the starter templates Design graphics Customize the menu choices","[""CSS"",""Graphic Design"",""Website Design"",""WordPress""]"
"Create graphics galleries in CSS based on two graphics galleries in WordPress","6 days left","VERIFIED","$136 (Avg Bid)","36 bids","...these two pages on my WordPress site, there are galleries of graphics: [login to view URL] [login to view URL] This project is to re-create these two galleries of graphics as CSS gallery tables, and provide the CSS code to me. I will give you a log-in to the WordPress blog so that you can access","[""CSS"",""WordPress""]"
"Speed up + clean up wordpress website and error","6 days left","NOT VERIFIED.","$138 (Avg Bid)","51 bids","Make website very fast, clean up and fix error","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Multilingual Woocommerce Wordpress set-up for website","6 days left","VERIFIED","$93 (Avg Bid)","6 bids","will be an Olive Oil Company and I need to set up the shop in several languages, and the whole buying process to work smoothly. I also need some help for the responsiveness of the website on tablets and mobiles.","[""CSS"",""HTML"",""PHP"",""WooCommerce"",""WordPress""]"
"Multilingual Woocommerce Wordpress set-up","6 days left","VERIFIED","$25 (Avg Bid)","11 bids","will be an Olive Oil Company and I need to set up the shop in several languages, and the whole buying process to work smoothly. I also need some help for the responsiveness of the website on tablets and mobiles.","[""CSS"",""HTML"",""PHP"",""WooCommerce"",""WordPress""]"
"Angular 10, Firestore, Fire-Functions programmer needed to finish data management project.","6 days left","VERIFIED","$5 / hr (Avg Bid)","11 bids","...other areas of the Pokemon card game, like merchandise. Phase 1 includes: - Finishing up our main Angular application - Integrating the app with our website for use in Wordpress, Xenforo, and Mediawiki. - Finishing a shortcode parser that uses vanilla Javascript to render data from Firebase into various HTML templates We are looking for an Angular","[""AngularJS"",""HTML5"",""JavaScript"",""Node.js"",""PHP""]"
"Convert website to wordpress","6 days left","NOT VERIFIED.","$1795 (Avg Bid)","42 bids","Searching for an expert and experienced who can convert blogger site [login to view URL] to wordpress within 10 days . I want to move to wordpress without loosing any data and information .","[""Blog Install"",""Graphic Design"",""PHP"",""Website Design""]"
"Modify and maintain PHP WordPress Theme","6 days left","VERIFIED","$553 (Avg Bid)","68 bids","Looking for potentially a long term project partner to develop and grow our site. Modify existing WordPress Theme : We have an existing crowdfunding theme that works with a third party crowdfunding plugin and WooCommerce. Need to modify theme so works without the crowdfunding plugin to meet our requirements. Need to make theme independent of original","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"build me a website on wordpress elegant themes, Extra","6 days left","NOT VERIFIED.","$450 (Avg Bid)","50 bids","upgrade my destination community website ,it's an online publication and needs ad space, a video header, classified, shop online, services, business listings and more...and needs ad space, a video header, classified, shop online, services, business listings and more. go to [login to view URL] to see current website that needs to be on now!","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Website for charity (Wordpress?)","6 days left","NOT VERIFIED.","$918 (Avg Bid)","94 bids","We have a small charity which needs a website. Could be 3-4 pages with ability to add shopping cart later. For now just need Home page, page showing vision, and page with staff pictures and bio. Needs to link to paypal and other sites which donations will pass through.","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Add Wordpress Membership to my existing site using Avada.","6 days left","VERIFIED","$133 (Avg Bid)","25 bids","Budget Max $30 - Need to add Wordpress membership to my existing site using Avada. Website: [login to view URL] Pmnt gateway: ipay88 Malaysia. (Or can be Woocommerce) Kindly see the attached PPT flow chart.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Looking wordpress custom developer","6 days left","VERIFIED","$154 (Avg Bid)","66 bids","Need comparison function to be built on urgent basis on wordpress website, further details will be shared","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Data entry job for wordpress site","6 days left","VERIFIED","$13 (Avg Bid)","61 bids","This is a simple project 1. Search specific products from Amazon, Flipkart & Snapdeal 2. Update Product & Price information Please update your bid for 100 posts. Thanks,","[""Data Entry"",""Web Scraping"",""Web Search"",""WordPress""]"
"Wordpress developer for Regular Small jobs","6 days left","VERIFIED","$4 / hr (Avg Bid)","16 bids","Hi , we are looking for wordpress freelancer with exp 3-5 year to work on multiple small projects. task will majorly do css changes, small development changes n customize little bit plugins.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Build custom website","6 days left","VERIFIED","$166 (Avg Bid)","74 bids","I run a solar retailer business and I have had a website designed and I now need it made in either custom Wordpress or HTML. Please see attached document which is the design of the website.","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"WordPress or Blogger Website","6 days left","NOT VERIFIED.","$306 (Avg Bid)","11 bids","Hi I want to WordPress or Blogger website same to same as [login to view URL] please contact me","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Convert html5 theme to wordpress","6 days left","VERIFIED","$51 (Avg Bid)","26 bids","I am looking for someone to convert my HTML5 site to wordpress. [login to view URL]","[""Graphic Design"",""HTML"",""HTML5"",""Website Design"",""WordPress""]"
"Gwanji Dating Theme Installation","6 days left","VERIFIED","$123 (Avg Bid)","29 bids","I purchased this Gwanji WordPress theme ([login to view URL]) but I am having trouble installing the dating demo ([login to view URL]). Theme documentation: [login to view URL] I need the dating site installed","[""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Wordpress / WooCommerce WCFM website optimization","6 days left","VERIFIED","$494 (Avg Bid)","61 bids","Hello, I have a WordPress / WooCommerce + WCFM website and I have got lots of plugins in it. I need a developer optimize my backend and frontend. The developer must be very senior. I will give detailed information to the candidates. Thanks.","[""CSS"",""HTML"",""PHP"",""WooCommerce"",""WordPress""]"
"Build a Website","6 days left","VERIFIED","$39 / hr (Avg Bid)","106 bids","We are a small IT company that has offered help to a few companies, one of our clients wants to completely redo their existing website and we need a WordPress expert/designer to help guide through the process. We believe in doing it right and doing it once. Someone living local - Like Auckland New Zealand would be ideal. They will need to sign","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"IMAGES. WORDPRESS WEBSITE","6 days left","NOT VERIFIED.","$284 (Avg Bid)","14 bids","Hi I NEED A DEVELOPER WHICH DEVELOP A WEBSITE FOR ME THIS WEBSITE CONTAIN IMAGES AND PICTURE","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"modification on Newspaper theme","6 days left","NOT VERIFIED.","$70 (Avg Bid)","4 bids","i want miner change in wordpress website using Newspaper theme (tag div composer) i want image in right side and in its left author name and title. only bid who do this in $10","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Flutter Developer Needed , To Customize and Add Features To ""Fluxstore Multi vendor Template""","6 days left","VERIFIED","$157 (Avg Bid)","10 bids","I Have A flutter Template called ""Fluxstore Multi-vendor Template"" It E-Commerce App Based On WordPress and connected with it by API's, My Application Idea : - I Have Woocomerce App, It is a Multivendor website, and it serves restaurants owner to Select a Product that he needs and will ""Request A Quote"" vendor by clicking on the ""Request QUOTE "" button","[""eCommerce"",""Flutter"",""PHP"",""RESTful API"",""WordPress""]"
"Content writing","6 days left","NOT VERIFIED.","$22 (Avg Bid)","9 bids","I need you to write some articles. Experience with wordpress and elementor Pro is preferred. If you think you can make it, let's discuss this further.","[""Article Writing""]"
"Wordpress website 6 pages","13 days left","NOT VERIFIED.","$50","3 entries","I need a Wordpress website following the Bold Photography theme to represent 12 pieces of Artwork for a new business. Artwork photos need to be amended such as remove background, add logo and readjust colour. Logo for the company needs Completing. I have the emblem but just need a decent font to complete the company name and slogan. On the website","[""Graphic Design"",""HTML"",""Logo Design"",""Website Design"",""WordPress""]"
"WordPress theme customization","6 days left","VERIFIED","$177 (Avg Bid)","62 bids","Looking for a full-stack developer to customize a WordPress theme","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Website inventory management","6 days left","VERIFIED","$13 / hr (Avg Bid)","27 bids","I need someone who can successfully import inventory to my wordpress website using CDV files.","[""HTML"",""Import/Export"",""Inventory Management"",""PHP"",""WordPress""]"
"Wordpress / BeaverBuilder - Styling-Frontend Fixes","6 days left","NOT VERIFIED.","$11 / hr (Avg Bid)","26 bids","A custom service vendor website has been built on WordPress utilizing Beaver Builder. There are multiple open frontend tasks open that need resolution. - Frontend styling fixes - Bug Fixes","[""CSS"",""HTML"",""PHP"",""WordPress""]"
"Build me a website Like google reviews","6 days left","NOT VERIFIED.","$963 (Avg Bid)","9 bids","Good day! We are hiring a WordPress Expert Job title WordPress Expert Needed for a full-time job 2. Salary and location Full time. 600-800$ There is a possibility to add extra hours, 5$ an hour Work remotely from Home. 3. Requirements • Processional CV/Resume • website URL. /Behance or Dribble account • Excellent English Communication skills • Stable","[""Database Development"",""PHP"",""Website Design""]"
"Wordpress plugin autoload library not working on production server","6 days left","VERIFIED","$94 (Avg Bid)","2 bids","You should have PHP and WordPress plugin development experience with composer knowledge. - ON local XAMPP code is working. - Another Linux. staging server code is working - Only Linux Debian not working. You should fixed bug on team viewer or Anydek because I can not provide production server access. We can not install anything on the server so","[""HTML"",""Linux"",""MySQL"",""PHP"",""WordPress""]"
"Update / rebuild wordpress site","6 days left","VERIFIED","$431 (Avg Bid)","118 bids","Website has bugs in it. Want to update/redesign it making it a little more simple but visually appealing. Site is built on wordpress using a themeforest template. Must maintain linking and page structure, responsive / mobile friendly, site has a lot of traffic.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Are you professional Wordpress developer?","6 days left","VERIFIED","$234 (Avg Bid)","32 bids","We are looking for professional Wordpress developer to implement 15 features as soon as possible. For details see attached file. After this milestone will be secund one with more enterprise features. For development we have our virtual server. A SSH and WP admin creadentials details will be provided after confirmation of the project. We are waiting","[""CSS"",""HTML"",""MySQL"",""PHP"",""WordPress""]"
"wordpress blog website","6 days left","NOT VERIFIED.","$32 (Avg Bid)","13 bids","Hello, I need an wordpress blog website. Budget is 10$","[""Website Design"",""WordPress""]"
"Build wordpress plugin","6 days left","NOT VERIFIED.","$77 (Avg Bid)","5 bids","I need a developer to create WordPress Plugin to import products from a website to my website Deadline : 7days Build a plugin that will do the following: 1- import Each store on the website to our Dokan multi-vendor stores with importing products of each store inside it from a website to our website by category with the price, variations and options","[""CSS"",""HTML"",""JavaScript"",""PHP"",""WordPress""]"
"I want to make a Live Streaming website","6 days left","NOT VERIFIED.","$2061 (Avg Bid)","36 bids","I have a website [login to view URL] , The site was custom designed and now my developer will not do any changes, I need the site built on wordpress and then added to the domain. With some extras added","[""Graphic Design"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Wordpress - Issue uploading plugin","6 days left","VERIFIED","$106 (Avg Bid)","75 bids","When I try to upload a plugin on WP, I get this message ""The link you followed has expired. Please try again."" can you solve it?","[""HTML"",""MySQL"",""PHP"",""Software Architecture"",""WordPress""]"
"Automate the creation of dummy virtual server on VPS and their deletion","6 days left","VERIFIED","$80 (Avg Bid)","3 bids","I want a service for myself similar to [login to view URL] So what this will do is 1. Create a dummy virtual server on VPS 2. Install WordPress from a template (copy-pasting files and database) 3. Delete the virtual server after some specific time. NOTE: Don't submit copy-pasted cover letters and please skip the Hi-Hello part.","[""DevOps"",""Linux"",""MySQL"",""PHP""]"
"Fix Wordpress bugs + add FB posts to blog","6 days left","NOT VERIFIED.","$24 (Avg Bid)","21 bids","I have two WP sites that have the same database, design but there are bugs when I try to work on the new/copied site. I think the person that copied the first site made some mistakes as there are frequent error messages that come up when I try to work on the new site, and there are actions I can't do. I also want to connect my FB page posts to the web blog.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"PHP API INTEGRATION, ecommerce website","6 days left","VERIFIED","$553 (Avg Bid)","52 bids","...They have given all info/documents etc payment gateways will be PayPal payzone or stripe. We want to build our own website but use their data. It will be a shopping cart Wordpress Magento . Payment in equal milestones. 25% working demo. 25% when you have done changes required. 50% when project is complete and live. If you do not agree our terms, please","[""API"",""MySQL"",""PHP"",""Website Design""]"
"Expeience in Wordpress","6 days left","VERIFIED","$19 (Avg Bid)","23 bids","i wanna aid to change the date of mz medical article to be published before 2018","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Help me with CSS in Wordpress theme, adjust sidebars","6 days left","VERIFIED","$36 (Avg Bid)","18 bids","Hello! I am using premium theme Lyngva + Elementor Pro + Directory Pro plugin and CSSHero in wordpress. I am struggling in designing the detailed view of the listing. What is the task? I need simple with responsive view looking, like the ones below ( they are picked from another template ). The design im looking for is for white content boxes where","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"Website Development Project Manager (Wordpress, Shopify, Clickfunnels) - USA BUSINESS HOURS","6 days left","VERIFIED","$8 / hr (Avg Bid)","8 bids","I am looking for an experienced website development project manager who is specifically fluent with Wordpress/PHP, Clickfunnels, Shopify builds. Preference given to PMP or Scrum project certified professionals. USA Business hours only - please do not apply if you cannot be online during these times, Monday - Friday. Full job details can be found in","[""HTML"",""PHP"",""Shopify"",""Website Design"",""WordPress""]"
"Wordpress Landing Page","6 days left","VERIFIED","$38 (Avg Bid)","30 bids","Need a Effective Wordpress Landing page, with slider, benefit, contact form and call to action. Landing page must be very creative and must be inspired to existent site. Before to procced need to show me a draft image or photoshop Landing page must be responsive.","[""CSS"",""HTML"",""PHP"",""Website Design"",""WordPress""]"
"WordPress integration with Moodle","6 days left","NOT VERIFIED.","$182 (Avg Bid)","17 bids","1. Develop a storefront in existing company website (WordPress) to integrate with the company existing LMS (Moodle)","[""HTML"",""Moodle"",""PHP"",""Website Design"",""WordPress""]"
